,address,num_bedroom,num_bathroom,price,post_code,latitude,longitude,neighborhood,ptype,size
21,907-1 Avondale Avenue,2 bd,2 ba,"649,999",M2N2V4,43.758015,-79.409615,Willowdale East,condo,900-999 sqft
22,1208-120 Harrison Garden Boulevard,1 bd,1 ba,"539,900",M2N2V4,43.758072,-79.403168,Willowdale East,condo,600-699 sqft
23,1529-120 Harrison Garden Boulevard,1 bd,1 ba,"538,000",M2N2V4,43.758072,-79.403168,Willowdale East,condo,600-699 sqft
24,2306-31 Bales Avenue,1 bd,1 ba,"459,900",M2N2V4,43.760132,-79.40889,Willowdale East,condo,500-599 sqft
25,2121-80 Harrison Garden Boulevard,3 bd,3 ba,"1,658,000",M2N2V4,43.756325,-79.405762,Willowdale East,condo,2250-2499 sqft
26,302-35 Bales Avenue,1 bd,1 ba,"459,000",M2N2V4,43.760109,-79.408226,Willowdale East,condo,500-599 sqft
27,755-5 Everson Drive,2 bd,2 ba,"635,000",M2N2V4,43.757439,-79.406761,Willowdale East,condo,900-999 sqft
28,1216-17 Anndale Drive,2 bd,2 ba,"849,900",M2N2V4,43.760136,-79.40789,Willowdale East,condo,1000-1199 sqft
29,2504-16 Harrison Garden Boulevard,2 bd,2 ba,"649,990",M2N2V4,43.7575,-79.409225,Willowdale East,condo,800-899 sqft
30,316W-20 Fashion Roseway ,2 bd,1 ba,"499,900",M2N2V4,43.762596,-79.393799,Willowdale East,condo,800-899 sqft
31,1210-17 Anndale Drive,2 bd,2 ba,"768,000",M2N2V4,43.760136,-79.40789,Willowdale East,condo,800-899 sqft
32,1106-35 Bales Avenue,2 bd,1 ba,"598,000",M2N2V4,43.760109,-79.408226,Willowdale East,condo,700-799 sqft
33,1527-80 Harrison Garden Boulevard,2 bd,2 ba,"619,500",M2N2V4,43.756325,-79.405762,Willowdale East,condo,900-999 sqft
34,1507-78 Harrison Garden Boulevard,2 bd,2 ba,"975,000",M2N2V4,43.756111,-79.407257,Willowdale East,condo,1400-1599 sqft
35,Lph10-18 Harrison Garden Boulevard,2 bd,2 ba,"759,900",M2N2V4,43.757355,-79.409355,Willowdale East,condo,1000-1199 sqft
36,314-10121 80 Avenue Nw,2 bd,2 ba,"269,800",1T7,53.515812,-113.491753,Ritchie,condo,74 sqft
37,202-10116 80 Avenue Nw,2 bd,2 ba,"324,900",1T7,53.516289,-113.49202,Ritchie,condo,96 sqft
38,247-10121 80 Avenue NW,2 bd,2 ba,"339,000",1T7,53.515812,-113.491753,Ritchie,condo,1001 sqft
39,405-10121 80 Avenue,2 bd,2 ba,"324,900",1T7,53.515812,-113.491753,Ritchie,condo,934 sqft
40,314-10121 80 Avenue,2 bd,2 ba,"274,800",1T7,53.515812,-113.491753,Ritchie,condo,796 sqft
41,246-10121 80 Avenue,2 bd,2 ba,"344,900",1T7,53.515812,-113.491753,Ritchie,condo,1028 sqft
42,428-10121 80 Avenue,2 bd,2 ba,"274,900",1T7,53.515812,-113.491753,Ritchie,condo,793 sqft
43,216-10116 80 Avenue,2 bd,2 ba,"327,800",1T7,53.516289,-113.49202,Ritchie,condo,1049 sqft
44,3067 Merritt Avenue,3 bd,1 ba,"599,000",L4T2H3,43.707508,-79.644104,Malton,townhouse,
45,7139 Lancaster Avenue,3 bd,3 ba,"629,000",L4T2H3,43.710194,-79.642044,Malton,townhouse,
46,7296 Lancaster Avenue,4 bd,3 ba,"709,000",L4T2H3,43.712536,-79.647057,Malton,townhouse,
47,15 Conistan Road,4 bd,3 ba,"1,328,000",L3R8K4,43.866421,-79.349304,Unionville,house,2500-3000 sqft
48,25 Conistan Road,4 bd,5 ba,"1,699,000",L3R8K4,43.865791,-79.34903,Unionville,house,
49,19 Cranleigh Drive,4 bd,4 ba,"1,680,000",L3R8K4,43.865307,-79.345894,Unionville,house,
50,39 Carnforth Boulevard,4 bd,4 ba,"1,630,000",L3R8K4,43.866905,-79.341515,Unionville,house,
51,1105 Cedar Grove Boulevard,3 bd,3 ba,"2,299,999",L6J2L1,43.463081,-79.66465,1013 - OO Old Oakville,house,1901 sqft
52,490 Anthony Drive,3 bd,2 ba,"1,099,000",L6J2L1,43.459667,-79.67067,1013 - OO Old Oakville,house,1100-1500 sqft
53,472 Anthony Drive,3 bd,2 ba,"1,450,000",L6J2L1,43.459099,-79.671638,1013 - OO Old Oakville,house,1452 sqft
54,497 Bohemia Crescent,4 bd,4 ba,"2,149,000",L6J2L1,43.460938,-79.673309,1013 - OO Old Oakville,house,2241 sqft
55,1139 Carla Court,4 bd,4 ba,"2,338,000",L6J2L1,43.467918,-79.666977,1013 - OO Old Oakville,house,
56,1100 Cedar Grove Boulevard,6 bd,5 ba,"2,895,000",L6J2L1,43.462933,-79.664452,1013 - OO Old Oakville,house,3587 sqft
57,1100 Cedar Grove Boulevard,6 bd,5 ba,"2,895,000",L6J2L1,43.462959,-79.664459,1013 - OO Old Oakville,house,3500-5000 sqft
58,1267 Cumnock Crescent,4 bd,8 ba,"4,498,000",L6J2L1,43.468761,-79.66227,1013 - OO Old Oakville,house,5452 sqft
59,1267 Cumnock Crescent,4 bd,8 ba,"4,498,000",L6J2L1,43.468605,-79.662712,1013 - OO Old Oakville,house,5000 sqft
60,464 Anthony Drive,4 bd,2 ba,"1,380,000",L6J2L1,43.45969,-79.67218,1013 - OO Old Oakville,house,1706 sqft
61,1098 Melvin Avenue,2 bd,2 ba,"1,499,000",L6J2L1,43.466488,-79.669106,1013 - OO Old Oakville,house,1100 sqft
62,510 Anthony Drive,4 bd,5 ba,"1,875,000",L6J2L1,43.460213,-79.670097,1013 - OO Old Oakville,house,2500-3000 sqft
63,1017 Melvin Avenue,4 bd,5 ba,"3,188,800",L6J2L1,43.46463,-79.671982,1013 - OO Old Oakville,house,
64,1031 Pinewood Avenue,5 bd,8 ba,"6,299,000",L6J2L1,43.459625,-79.664772,1013 - OO Old Oakville,house,4726 sqft
65,232 Poplar Drive,4 bd,6 ba,"6,598,000",L6J2L1,43.459122,-79.661812,1013 - OO Old Oakville,house,5000 sqft
66,1031 Pinewood Avenue,4 bd,8 ba,"6,299,000",L6J2L1,43.459564,-79.664703,1013 - OO Old Oakville,house,3500-5000 sqft
67,347 Chartwell Road,4 bd,5 ba,"2,998,000",L6J2L1,43.460426,-79.66729,1013 - OO Old Oakville,house,3500-5000 sqft
68,121 Shirley Drive,4 bd,4 ba,"1,690,000",L4S2K9,43.884342,-79.403038,Rouge Woods,house,2500-3000 sqft
69,2 Gemini Crescent,4 bd,4 ba,"1,398,000",L4S2K9,43.882118,-79.397163,Rouge Woods,house,
70,81 Silver Stream Avenue,5 bd,5 ba,"1,588,000",L4S2K9,43.882935,-79.39753,Rouge Woods,house,2500-3000 sqft
71,48 Garland Crescent,5 bd,5 ba,"1,450,000",L4S2K9,43.882641,-79.406227,Rouge Woods,house,2500-3000 sqft
72,138 Farmstead Road,4 bd,5 ba,"1,599,998",L4S2K9,43.881592,-79.406052,Rouge Woods,house,2500-3000 sqft
73,37 Shell Court,4 bd,5 ba,"1,625,000",L4S2K9,43.882442,-79.405701,Rouge Woods,house,2000-2500 sqft
74,26 Shirley Drive,3 bd,4 ba,"1,199,900",L4S2K9,43.880322,-79.401428,Rouge Woods,house,
75,39 Shell Court,4 bd,5 ba,"1,498,000",L4S2K9,43.882431,-79.405884,Rouge Woods,house,
76,25 Champagne Court,4 bd,4 ba,"1,387,000",L4S2K9,43.886402,-79.400688,Rouge Woods,house,
77,54 Kimono Crescent,3 bd,3 ba,"849,000",L4S2K9,43.880337,-79.405273,Rouge Woods,townhouse,
78,133 Kimono Crescent,3 bd,3 ba,"838,888",L4S2K9,43.87891,-79.403831,Rouge Woods,townhouse,1100-1500 sqft
79,10 Cashmere Crescent,4 bd,5 ba,"1,238,000",L3R7E4,43.83271,-79.288162,Milliken Mills East,house,
80,18 Aldergrove Drive,4 bd,4 ba,"1,138,800",L3R7E4,43.834244,-79.292305,Milliken Mills East,house,2500-3000 sqft
81,63 Cashmere Crescent,4 bd,5 ba,"1,160,000",L3R7E4,43.833698,-79.288078,Milliken Mills East,house,
82,61 Evershot Crescent,4 bd,4 ba,"999,000",L6E1T5,43.907856,-79.273788,Wismer,house,
83,39 Kindy Street,4 bd,6 ba,"1,699,000",L6E1T5,43.904293,-79.277672,Wismer,house,3000-3500 sqft
84,41 Furrow Street,4 bd,6 ba,"1,688,000",L6E1T5,43.903187,-79.280052,Wismer,house,3500-5000 sqft
85,18 English Street,3 bd,3 ba,"629,900",L6X3P1,43.69355,-79.773125,Bram West,house,
86,29 English Street,3 bd,3 ba,"759,900",L6X3P1,43.692787,-79.7733,Bram West,house,
87,12 Rogers Road,2 bd,2 ba,"599,000",L6X3P1,43.693504,-79.775932,Bram West,house,
88,8 Grayson Crescent,4 bd,4 ba,"899,000",M1B5B5,43.815659,-79.201866,Malvern,house,2000-2500 sqft
89,576 Sewell's Road,4 bd,3 ba,"788,000",M1B5B5,43.8195,-79.20266,Malvern,house,2000-2500 sqft
90,48 Mcknight Drive,3 bd,3 ba,"679,000",M1B5B5,43.811729,-79.205612,Malvern,house,
91,108 Fawcett Trail,3 bd,3 ba,"699,000",M1B5B5,43.813908,-79.209244,Malvern,house,
92,44 Joseph Glover Avenue,3 bd,3 ba,"975,000",L6C2Z8,43.891811,-79.292931,Berczy,house,
93,27 Hollylane Drive,4 bd,4 ba,"1,399,000",L6C2Z8,43.888069,-79.293114,Berczy,house,
94,30 Hollylane Drive,3 bd,4 ba,"1,550,000",L6C2Z8,43.888435,-79.29351,Berczy,house,
95,637-540 Bur Oak Avenue,1 bd,2 ba,"409,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,600-699 sqft
96,339-540 Bur Oak Avenue,1 bd,2 ba,"408,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,600-699 sqft
97,217-540 Bur Oak Avenue,2 bd,2 ba,"539,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,1000-1199 sqft
98,330-540 Bur Oak Avenue,1 bd,2 ba,"409,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,600-699 sqft
99,613-540 Bur Oak Avenue,2 bd,2 ba,"499,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,900-999 sqft
100,526-540 Bur Oak Avenue,1 bd,1 ba,"409,000",L6C2Z8,43.894772,-79.292854,Berczy,condo,600-699 sqft
101,207 Bayview Heights Drive,4 bd,3 ba,"1,750,000",M4T1C7,43.695713,-79.370995,Rosedale-Moore Park,house,
102,19 Ridge Drive,3 bd,4 ba,"3,350,000",M4T1C7,43.685806,-79.382835,Rosedale-Moore Park,house,2500-3000 sqft
103,11 Harper Avenue,4 bd,5 ba,"3,198,000",M4T1C7,43.689514,-79.374031,Rosedale-Moore Park,house,
104,31 Airdrie Road,3 bd,2 ba,"1,798,000",M4T1C7,43.699726,-79.371338,Rosedale-Moore Park,house,
105,19 St Andrews Gardens,4 bd,4 ba,"3,895,000",M4T1C7,43.68523,-79.376144,Rosedale-Moore Park,house,3500-5000 sqft
106,159 Glen Road,5 bd,5 ba,"4,795,000",M4T1C7,43.685089,-79.372353,Rosedale-Moore Park,house,3500-5000 sqft
107,25 Douglas Crescent,4 bd,6 ba,"4,799,000",M4T1C7,43.690632,-79.365929,Rosedale-Moore Park,house,5000 sqft
108,143 Leacrest Road,4 bd,6 ba,"2,979,000",M4T1C7,43.699749,-79.362709,Rosedale-Moore Park,house,2500-3000 sqft
109,125 Garfield Avenue,4 bd,5 ba,"4,295,000",M4T1C7,43.688522,-79.376892,Rosedale-Moore Park,house,3000-3500 sqft
110,120 Leacrest Road,2 bd,1 ba,"1,595,000",M4T1C7,43.699116,-79.363823,Rosedale-Moore Park,house,
111,125 Leacrest Road,3 bd,1 ba,"1,429,000",M4T1C7,43.698975,-79.36351,Rosedale-Moore Park,house,
112,44 Douglas Crescent,4 bd,5 ba,"3,975,000",M4T1C7,43.691193,-79.366188,Rosedale-Moore Park,house,3500-5000 sqft
113,102 Leacrest Road,4 bd,4 ba,"2,649,000",M4T1C7,43.698242,-79.364609,Rosedale-Moore Park,house,2500-3000 sqft
114,208 Bayview Heights Drive,4 bd,5 ba,"3,199,800",M4T1C7,43.69556,-79.371277,Rosedale-Moore Park,house,2500-3000 sqft
115,121 Southvale Drive,3 bd,3 ba,"1,499,000",M4T1C7,43.698315,-79.366051,Rosedale-Moore Park,house,
116,503 Merton Street,4 bd,5 ba,"2,495,000",M4T1C7,43.698921,-79.381508,Rosedale-Moore Park,house,
117,209 Bayview Heights Drive,5 bd,3 ba,"1,790,000",M4T1C7,43.695827,-79.37104,Rosedale-Moore Park,townhouse,
118,308 Merton Street,3 bd,3 ba,"1,599,000",M4T1C7,43.698284,-79.387299,Rosedale-Moore Park,townhouse,1500-2000 sqft
119,25 Bamboo Grove,4 bd,4 ba,"2,880,000",M3B1P7,43.74403,-79.367477,Banbury-Don Mills,house,
120,71 Barrydale Crescent,4 bd,4 ba,"2,580,000",M3B1P7,43.749207,-79.363335,Banbury-Don Mills,house,
121,31 Cheval Drive,4 bd,5 ba,"2,639,000",M3B1P7,43.745941,-79.366158,Banbury-Don Mills,house,3500-5000 sqft
122,56 Barrydale Crescent,4 bd,5 ba,"2,750,000",M3B1P7,43.748516,-79.364044,Banbury-Don Mills,house,
123,53 Finnegan Place,3 bd,2 ba,"869,900",L1R2G2,43.913517,-78.945679,Pringle Creek,house,1500-2000 sqft
124,26 Patrick Drive,4 bd,4 ba,"919,000",L1R2G2,43.911972,-78.943298,Pringle Creek,house,
125,17 Meadowglen Drive,4 bd,5 ba,"799,000",L1R2G2,43.911625,-78.94577,Pringle Creek,house,2000-2500 sqft
126,48 Greenbush Place,4 bd,4 ba,"939,900",L1R2G2,43.910709,-78.946213,Pringle Creek,house,
127,27 Ennisclare Place,4 bd,4 ba,"729,900",L1R2G2,43.909954,-78.936264,Pringle Creek,house,
128,1507-65 Huntingdale Boulevard,2 bd,2 ba,"519,900",M1W1W4,43.795177,-79.324631,L'Amoreaux,condo,1400-1599 sqft
129,1005-45 Huntingdale Boulevard,2 bd,2 ba,"449,888",M1W1W4,43.796017,-79.325539,L'Amoreaux,condo,1400-1599 sqft
130,26-72 Dusay Place,3 bd,2 ba,"509,900",M1W1W4,43.795341,-79.330292,L'Amoreaux,condo,1200-1399 sqft
131,1706-65 Huntingdale Boulevard,2 bd,2 ba,"449,888",M1W1W4,43.795177,-79.324631,L'Amoreaux,condo,1400-1599 sqft
132,1402-3151 Bridletowne Circle,2 bd,2 ba,"389,800",M1W1W4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
133,275 Huntingdale Boulevard,3 bd,2 ba,"579,900",M1W1W4,43.796612,-79.322746,L'Amoreaux,condo,1200-1399 sqft
134,1604-3151 Bridletowne Circle,2 bd,2 ba,"368,000",M1W1W4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
135,502-3151 Bridletowne Circle,2 bd,2 ba,"299,000",M1W1W4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
136,2202-3151 Bridletowne Circle,2 bd,2 ba,"410,000",M1W1W4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
137,303-45 Huntingdale Boulevard,3 bd,2 ba,"499,000",M1W1W4,43.796017,-79.325539,L'Amoreaux,condo,1400-1599 sqft
138,1005-55 Huntingdale Boulevard,2 bd,2 ba,"459,888",M1W1W4,43.796078,-79.325516,L'Amoreaux,condo,1400-1599 sqft
139,28-3075 Bridletowne Circle,3 bd,3 ba,"698,888",M1W1W4,43.800259,-79.320663,L'Amoreaux,condo,1200-1399 sqft
140,1106-3151 Bridletowne Circle,2 bd,2 ba,"398,000",M1W1W4,43.797672,-79.319885,L'Amoreaux,condo,1400-1599 sqft
141,1480 Old Forest Road,2 bd,2 ba,"499,000",L1V1N1,43.817883,-79.128868,Highbush,house,
142,1415 Old Forest Road,4 bd,4 ba,"1,199,999",L1V1N1,43.814461,-79.126068,Highbush,house,3500-5000 sqft
143,301 Fiddlers Court,4 bd,4 ba,"1,499,900",L1V1N1,43.813919,-79.133965,Highbush,house,3500-5000 sqft
144,273 Hoover Drive,3 bd,3 ba,"949,000",L1V1N1,43.812386,-79.138527,Highbush,house,
145,255 Howell Crescent,4 bd,3 ba,"969,888",L1V1N1,43.816162,-79.141273,Highbush,house,2500-3000 sqft
146,1008 Dalewood Drive,4 bd,4 ba,"860,000",L1V1N1,43.810127,-79.130417,Highbush,house,
147,273 Richardson Street,4 bd,3 ba,"1,020,000",L1V1N1,43.815872,-79.13739,Highbush,house,
148,530 Sheppard Avenue,3 bd,3 ba,"674,900",L1V1N1,43.820591,-79.125237,Highbush,house,
149,1297 Fawndale Road,4 bd,5 ba,"1,598,000",L1V1N1,43.815033,-79.135796,Highbush,house,3500-5000 sqft
150,1427 Rougemount Drive,5 bd,2 ba,"899,900",L1V1N1,43.81461,-79.13102,Highbush,house,1500-2000 sqft
151,1483 Altona Road,3 bd,1 ba,"924,900",L1V1N1,43.816933,-79.135544,Highbush,house,
152,426 Sheppard Avenue,4 bd,1 ba,"1,499,900",L1V1N1,43.819485,-79.130623,Highbush,house,
153,49 Hollingham Road,3 bd,4 ba,"1,199,000",L3R7W8,43.863281,-79.338943,Unionville,house,2000-2500 sqft
154,22 Corby Road,3 bd,4 ba,"1,300,000",L3R7W8,43.861855,-79.345871,Unionville,house,
155,38 Hollingham Road,4 bd,6 ba,"1,880,000",L3R7W8,43.862499,-79.339088,Unionville,house,
156,19 Cranleigh Drive,4 bd,4 ba,"1,680,000",L3R7W8,43.865307,-79.345894,Unionville,house,
157,39 Carnforth Boulevard,4 bd,4 ba,"1,630,000",L3R7W8,43.866905,-79.341515,Unionville,house,
158,87 Broomfield Drive,3 bd,3 ba,"899,000",M1S2S6,43.800774,-79.272713,Agincourt North,house,
159,48 Lunsfield Crescent,4 bd,3 ba,"848,888",M1S2S6,43.805855,-79.266541,Agincourt North,house,1500-2000 sqft
160,24 Pipers Green Avenue,5 bd,4 ba,"1,088,000",M1S2S6,43.803951,-79.271919,Agincourt North,house,
161,2 Cudham Drive,4 bd,3 ba,"989,900",M1S2S6,43.803162,-79.272972,Agincourt North,house,
162,40 Settlers' Ridge Street,3 bd,4 ba,"1,238,000",L6E0E1,43.893879,-79.285568,Wismer,house,2500-3000 sqft
163,61 Evershot Crescent,4 bd,4 ba,"999,000",L6E0E1,43.907856,-79.273788,Wismer,house,
164,39 Kindy Street,4 bd,6 ba,"1,699,000",L6E0E1,43.904293,-79.277672,Wismer,house,3000-3500 sqft
165,485 Fred Mclaren Boulevard,4 bd,3 ba,"1,348,800",L6E0E1,43.902798,-79.282059,Wismer,house,3000-3500 sqft
166,141 Lampton Crescent,3 bd,4 ba,"968,888",L6E0E1,43.898777,-79.287064,Wismer,house,
167,6 Mimosa Street,4 bd,4 ba,"988,888",L6E0E1,43.895977,-79.275002,Wismer,house,
168,35 Settler's Ridge Street,4 bd,3 ba,"999,000",L6E0E1,43.89399,-79.284821,Wismer,house,2000-2500 sqft
169,41 Furrow Street,4 bd,6 ba,"1,688,000",L6E0E1,43.903187,-79.280052,Wismer,house,3500-5000 sqft
170,90 Memon Place,4 bd,3 ba,"888,000",L6E0E1,43.905716,-79.282799,Wismer,townhouse,
171,44 Wingrove Street,3 bd,3 ba,"845,000",L6E0E1,43.896641,-79.281036,Wismer,townhouse,
172,1067 Rockcliffe Court,4 bd,4 ba,"1,698,000",L6M2G3,43.443363,-79.719284,Glen Abbey,house,3038 sqft
173,1067 Rockcliffe Court,4 bd,4 ba,"1,698,000",L6M2G3,43.443489,-79.719414,Glen Abbey,house,3000-3500 sqft
174,1222 Old Carriage Way,4 bd,4 ba,"1,599,900",L6M2G3,43.441936,-79.720306,Glen Abbey,house,2713 sqft
175,312-485 Logan Avenue,1 bd,2 ba,"1,110,000",M4K1E5,43.666828,-79.344528,North Riverdale,condo,1200-1399 sqft
176,202-485 Logan Avenue,2 bd,1 ba,"989,000",M4K1E5,43.666828,-79.344528,North Riverdale,condo,1200-1399 sqft
177,108-485 Logan Avenue,2 bd,2 ba,"789,000",M4K1E5,43.666828,-79.344528,North Riverdale,condo,1000-1199 sqft
178,272 Scarboro Crescent,2 bd,2 ba,"1,288,000",M1M2K8,43.710342,-79.246941,Cliffcrest,house,1100-1500 sqft
179,115 Brooklawn Avenue,4 bd,5 ba,"1,950,000",M1M2K8,43.719337,-79.234474,Cliffcrest,house,
180,59 Montvale Drive,3 bd,3 ba,"1,055,000",M1M2K8,43.718529,-79.246178,Cliffcrest,house,
181,26 Eastville Avenue,4 bd,5 ba,"1,495,000",M1M2K8,43.714012,-79.234123,Cliffcrest,house,2000-2500 sqft
182,171 Midland Avenue,4 bd,1 ba,"799,000",M1M2K8,43.71067,-79.248001,Cliffcrest,house,
183,54 Larwood Boulevard,4 bd,2 ba,"1,398,000",M1M2K8,43.71413,-79.237556,Cliffcrest,house,
184,6 Sonora Terrace,4 bd,5 ba,"1,949,000",M1M2K8,43.701347,-79.249702,Cliffcrest,house,3000-3500 sqft
185,63 Thatcher Avenue,3 bd,3 ba,"1,080,000",M1M2K8,43.71825,-79.239342,Cliffcrest,house,1500-2000 sqft
186,91 Brooklawn Avenue,4 bd,5 ba,"1,599,000",M1M2K8,43.718307,-79.234039,Cliffcrest,house,3000-3500 sqft
187,105 Gradwell Drive,3 bd,2 ba,"888,000",M1M2K8,43.717937,-79.236458,Cliffcrest,house,
188,165 Midland Avenue,4 bd,5 ba,"1,599,000",M1M2K8,43.710316,-79.247673,Cliffcrest,house,3500-5000 sqft
189,144 Gradwell Drive,4 bd,6 ba,"1,469,000",M1M2K8,43.719418,-79.237648,Cliffcrest,house,
190,66 Gradwell Drive,4 bd,4 ba,"1,588,800",M1M2K8,43.715706,-79.236076,Cliffcrest,house,2500-3000 sqft
191,89 Burnt Bark Drive,3 bd,4 ba,"799,000",M1W3G1,43.81543,-79.313194,Steeles,house,
192,161 Wintermute Boulevard,3 bd,3 ba,"1,080,000",M1W3G1,43.817047,-79.318275,Steeles,house,
193,170 Wintermute Boulevard,4 bd,3 ba,"1,229,000",M1W3G1,43.816811,-79.317703,Steeles,house,
194,1615-75 Bamburgh Circle,2 bd,2 ba,"399,000",M1W3G1,43.814705,-79.325661,Steeles,condo,1000-1199 sqft
195,501-275 Bamburgh Circle,2 bd,2 ba,"399,000",M1W3G1,43.813652,-79.323227,Steeles,condo,1000-1199 sqft
196,1726-75 Bamburgh Circle,3 bd,2 ba,"558,000",M1W3G1,43.814705,-79.325661,Steeles,condo,1200-1399 sqft
197,303-255 Bamburgh Circle,2 bd,2 ba,"579,900",M1W3G1,43.813553,-79.322113,Steeles,condo,1800-1999 sqft
198,32 Chant Crescent,3 bd,3 ba,"1,688,000",L3R1Z9,43.86945,-79.327148,Unionville,house,
199,48 Normandale Road,4 bd,3 ba,"2,088,800",L3R1Z9,43.875294,-79.322815,Unionville,house,3500-5000 sqft
200,5 Chant Crescent,3 bd,3 ba,"1,388,000",L3R1Z9,43.870495,-79.325935,Unionville,house,
201,1 Trumpour Court,5 bd,7 ba,"3,788,000",L3R1Z9,43.869972,-79.323395,Unionville,house,
202,27 Ava Crescent,5 bd,6 ba,"2,898,000",L4B2E1,43.860466,-79.401871,Bayview Hill,house,3500-5000 sqft
203,8 Horizon Court,5 bd,5 ba,"1,798,000",L4B2E1,43.858871,-79.399452,Bayview Hill,house,3500-5000 sqft
204,1 Elderwood Drive,5 bd,4 ba,"2,675,000",L4B2E1,43.860279,-79.400116,Bayview Hill,house,
205,329-109 Front Street,1 bd,2 ba,"629,900",M5E1R8,43.649342,-79.370911,Church-Yonge Corridor,condo,700-799 sqft
206,407-39 Sherbourne Street,1 bd,1 ba,"679,900",M5E1R8,43.65115,-79.367981,Church-Yonge Corridor,condo,600-699 sqft
207,409-35 Church Street,1 bd,2 ba,"1,110,000",M5E1R8,43.649315,-79.373863,Church-Yonge Corridor,condo,1200-1399 sqft
208,Ph#3-160 Frederick Street,2 bd,2 ba,"1,668,000",M5E1R8,43.650391,-79.369324,Church-Yonge Corridor,condo,2000-2249 sqft
209,304-138 Princess Street,1 bd,1 ba,"509,000",M5E1R8,43.651218,-79.367279,Church-Yonge Corridor,condo,500-599 sqft
210,601-135 George Street,2 bd,2 ba,"995,500",M5E1R8,43.649677,-79.370041,Church-Yonge Corridor,condo,1200-1399 sqft
211,1403-39 Sherbourne Street,2 bd,2 ba,"839,900",M5E1R8,43.65115,-79.367981,Church-Yonge Corridor,condo,900-999 sqft
212,202-230 King Street,1 bd,1 ba,"575,000",M5E1R8,43.651474,-79.368172,Church-Yonge Corridor,condo,500-599 sqft
213,507-109 Front Street E,1 bd,1 ba,"559,900",M5E1R8,43.649342,-79.370911,Church-Yonge Corridor,condo,685 sqft
